Date,Price,Open,High,Low,Vol.,Change %
05/11/2025,152565.11,152629.61,152743.77,152530.7,44.30M,-0.0004
04/11/2025,152629.58,153739.11,153739.11,152515.02,683.91M,-0.0072
03/11/2025,153739.09,154126.45,154339.06,153656.7,627.49M,-0.0025
31/10/2025,154126.44,153676.66,154126.44,153652.09,525.61M,0.0029
30/10/2025,153676.81,154260.98,154294.44,153644.8,495.85M,-0.0038
29/10/2025,154260.95,155353.2,155353.2,154260.95,452.82M,-0.007
28/10/2025,155353.2,155496.16,155634.61,155069.03,525.42M,-0.0009
27/10/2025,155496.16,155645.05,156024.16,155336.5,502.99M,-0.001
24/10/2025,155645.03,154489.09,155792.3,154489.09,1.21B,0.0075
23/10/2025,154489.91,153736.25,154613.13,153736.25,926.91M,0.0049
22/10/2025,153736.25,151456.91,153792.81,151456.91,589.43M,0.015
21/10/2025,151456.91,149940.81,152754.92,149940.81,551.91M,0.0101
20/10/2025,149940.81,148977.64,149947.31,148966.02,415.04M,0.0065
17/10/2025,148977.78,148355.05,149037.63,148355.05,480.83M,0.0042
16/10/2025,148355.05,147742.23,148460.69,147739.05,432.31M,0.0041
15/10/2025,147742.2,147710.95,148042.06,147631.38,388.93M,0.0002
14/10/2025,147710.95,147715.5,147873.8,147626.77,495.03M,0
13/10/2025,147717.2,146987.09,147717.2,146884.31,624.58M,0.005
10/10/2025,146988.05,146204.34,147107.19,146098.25,385.51M,0.0054
09/10/2025,146204.31,145984.94,146204.31,145984.94,346.91M,0.0033
08/10/2025,145719.09,145024,145784.45,144986.44,525.65M,0.005
07/10/2025,144995.27,144822.78,145072.94,144466.67,507.28M,0.0012
06/10/2025,144822.75,143584.05,144918.45,143584.05,519.90M,0.0086
03/10/2025,143584.05,142979.45,143629.98,142973.05,544.74M,0.0042
02/10/2025,142979.44,142713.06,142997.73,142653.45,785.33M,0.0019
30/09/2025,142710.45,142377.56,142822.72,142359.63,1.24B,0.0023
29/09/2025,142377.55,142133.03,142640.41,142069.09,383.91M,0.0017
26/09/2025,142133,141157.48,142276.44,141140.64,518.63M,0.0069
25/09/2025,141157.48,140716.09,141183.2,140697.88,781.73M,0.0031
24/09/2025,140716.09,140929.59,141411.69,140655.09,442.55M,-0.0015
23/09/2025,140929.59,141498.22,141530.98,140822.36,759.05M,-0.004
22/09/2025,141498.2,141845.34,142027.95,141498.2,488.51M,-0.0024
19/09/2025,141845.31,142263.06,142263.06,141585.98,431.18M,-0.0029
18/09/2025,142263.13,142036.25,142342.63,142036.25,325.10M,0.0016
17/09/2025,142036.23,141546.78,142036.23,141153.75,1.00B,0.0035
16/09/2025,141546.78,141659,141853.92,141501.14,414.98M,-0.0008
15/09/2025,141659,140597.58,141759.23,140551.2,555.11M,0.0079
12/09/2025,140545.69,140665.84,140885.5,140277.31,434.70M,-0.0008
11/09/2025,140657.3,140365.36,140722.3,140353,378.15M,0.0021
10/09/2025,140365.36,139796.11,140430.02,139796.11,767.68M,0.0041
09/09/2025,139796.11,139394.75,139800.27,139392.81,659.16M,0.0029
08/09/2025,139394.75,138980.02,139514.66,138951.27,947.80M,0.003
04/09/2025,138980.02,138157.16,138987.47,138157.16,1.82B,0.006
03/09/2025,138157.14,138737.64,138744.69,138030.7,482.74M,-0.0042
02/09/2025,138737.64,139722.19,139753.59,138701.47,399.81M,-0.007
01/09/2025,139722.19,140295.5,140433.02,139698.09,407.89M,-0.0041
29/08/2025,140295.47,140557.23,140758.72,140186.75,435.12M,-0.0019
28/08/2025,140557.23,141248.77,141394.67,140555.66,884.96M,-0.0049
27/08/2025,141248.77,141760.72,141763.63,141248.77,682.85M,-0.0036
26/08/2025,141761.36,141446.03,141902.38,141446.03,605.00M,0.0023
25/08/2025,141439.75,141004.14,141461.8,140788.56,589.66M,0.0031
22/08/2025,141004.14,140332.44,141007.56,140052.48,767.73M,0.0048
21/08/2025,140332.44,141576.88,142058.81,140330.8,573.67M,-0.0087
20/08/2025,141566.28,142613.47,142813.3,141566.28,721.68M,-0.0073
19/08/2025,142613.47,144698.44,144795.13,142424.95,1.03B,-0.0146
18/08/2025,144722.47,144628.2,144998.56,144612.8,1.05B,0.0007
15/08/2025,144628.2,145300.02,145300.02,144559.98,1.37B,-0.0051
14/08/2025,145367.03,145864.8,146179.16,145359.52,2.46B,-0.0034
13/08/2025,145864.78,146055.89,146272.61,145780.09,1.34B,-0.0013
12/08/2025,146055.88,145902.77,146100.75,145385.2,1.28B,0.0007
11/08/2025,145948.47,145754.91,146389.84,145695.7,2.12B,0.0013
08/08/2025,145756.52,146570.7,146600.02,145502.95,2.22B,-0.0056
07/08/2025,146570.69,145853.84,146597.89,145279.05,1.98B,0.0052
06/08/2025,145813.86,144796.38,145892.94,144796.38,1.70B,0.007
05/08/2025,144796.38,144075.06,145070.52,144075.06,1.03B,0.005
04/08/2025,144071.77,141263.05,144129.77,141122.84,810.47M,0.0199
01/08/2025,141263.05,139863.52,141459.3,139740.14,1.08B,0.01
31/07/2025,139863.52,139346.45,139944.52,137779.44,1.10B,0.0042
30/07/2025,139278.67,137918.73,139343.63,137901.88,892.02M,0.0099
29/07/2025,137912.88,135157.81,137995.31,134928.88,940.79M,0.0203
28/07/2025,135166.52,134452.94,135427.45,134402.11,795.55M,0.0053
25/07/2025,134452.94,133299.56,134487.63,133299.56,713.71M,0.0094
24/07/2025,133199.97,132560.31,133199.98,132496.7,818.39M,0.0048
23/07/2025,132557.44,132451.73,132639.58,132296.27,681.23M,0.0008
22/07/2025,132451.73,131818.34,133164.69,131796.88,771.63M,0.0047
21/07/2025,131826.77,131585.2,131930.31,131501.66,706.02M,0.0018
18/07/2025,131585.64,130283.87,131620.31,130283.87,2.21B,0.01
17/07/2025,130283.84,128961.29,130375.93,128961.29,1.19B,0.0102
16/07/2025,128967.08,126689.54,128978.19,126689.54,1.24B,0.018
14/07/2025,126689.54,126151.04,127092.15,126151.04,1.29B,0.0043
11/07/2025,126149.57,124612.74,126151.04,124612.74,1.39B,0.0137
10/07/2025,124446.8,121996.43,124479.01,121996.43,1.28B,0.0201
09/07/2025,121989.67,121656.53,122055.74,121414.52,888.66M,0.0028
08/07/2025,121653.93,121295.33,121704.46,121295.33,1.01B,0.0024
07/07/2025,121361.87,120989.66,121377.5,120989.11,824.06M,0.0031
04/07/2025,120990.27,120977.2,121030.96,120754.39,923.83M,0.0001
03/07/2025,120977.2,120339.9,121082.56,120339.9,933.39M,0.0053
02/07/2025,120339.9,119747.57,120339.9,119717.05,1.05B,0.005
01/07/2025,119741.23,119980.37,120179.74,119697.68,526.98M,-0.002
30/06/2025,119978.57,120063.83,120401.31,119696.55,1.42B,-0.0001
